Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
OIT3	5	0.31712	1.1977	0.19866	0.64027	0.23104	0.60577
OLA1	5	-0.39088	-1.4969	0.11524	0.52201	0.13443	0.59288
OLAH	5	0.23331	1.2336	0.37615	0.78998	0.21737	0.59985
OLFM1	6	-0.0891	-0.66729	0.58669	0.89111	0.50459	0.75965
OLFM2	5	0.32575	1.4453	0.18416	0.62191	0.14837	0.59288
OLFM3	5	0.21038	1.1467	0.43724	0.82569	0.2515	0.61638
OLFM4	5	0.34609	1.468	0.15539	0.58686	0.14211	0.59288
OLFML1	5	0.084055	0.44286	0.83822	0.9666	0.65787	0.84691
OLFML2A	5	0.4335	1.6612	0.060591	0.3992	0.096682	0.59288
OLFML2B	5	0.12016	0.55755	0.71398	0.93209	0.57715	0.80337
OLFML3	5	-0.036769	-0.25416	0.7698	0.95025	0.79937	0.91664
OLIG1	5	0.27107	0.96041	0.28735	0.7286	0.33685	0.66235
OLIG2	5	0.25747	0.85796	0.31717	0.74804	0.39092	0.69279
OLIG3	5	0.38483	1.7456	0.10291	0.49545	0.080885	0.59288
OLR1	5	-0.26916	-1.0406	0.24808	0.69244	0.29807	0.63923
OMA1	5	-0.016674	-0.081197	0.83244	0.96543	0.93529	0.97436
OMD	5	-0.13099	-0.55513	0.50833	0.85931	0.5788	0.80425
OMG	5	-0.29306	-0.95139	0.21471	0.65726	0.34141	0.66478
OMP	5	-0.0073775	-0.035685	0.86055	0.97086	0.97153	0.98852
ONECUT1	5	0.34717	1.4607	0.15378	0.58568	0.1441	0.59288
ONECUT2	5	0.41959	1.5493	0.071421	0.4281	0.12131	0.59288
ONECUT3	5	0.32449	1.2511	0.18616	0.62467	0.21091	0.59847
OOEP	5	0.02943	0.13534	0.98167	0.99763	0.89234	0.95563
OOSP2	5	-0.30679	-1.5275	0.19755	0.63884	0.12663	0.59288
OPA1	5	-0.34061	-1.1097	0.15961	0.59217	0.26715	0.62389
OPA3	6	0.080914	0.70396	0.822	0.96317	0.48146	0.74622
OPALIN	7	-0.39115	-1.8613	0.06048	0.3992	0.062703	0.59288
OPCML	5	0.60175	1.644	0.0062201	0.11752	0.10018	0.59288
OPHN1	5	0.30648	1.3325	0.21637	0.65967	0.18269	0.59478
OPN1LW	2	0.66553	1.0265	0.049817	0.35937	0.30468	0.64256
OPN1SW	4	0.49056	1.3478	0.052982	0.37358	0.17773	0.59427
OPN3	5	-0.018601	-0.083331	0.82628	0.96493	0.93359	0.97371
OPN4	5	0.34172	1.7436	0.16134	0.5948	0.081232	0.59288
OPN5	5	-0.001499	-0.0057411	0.87954	0.9758	0.99542	0.99837
OPRD1	5	0.6927	1.3987	0.0012774	0.038917	0.16192	0.59288
OPRK1	5	0.22008	1.2957	0.41064	0.81128	0.19509	0.59478
OPRL1	5	0.50422	1.2842	0.024048	0.25029	0.19906	0.59478
OPRM1	5	0.17502	0.5412	0.54215	0.87332	0.58837	0.80952
OPTC	5	0.18878	1.1546	0.5005	0.85576	0.24826	0.61454
OPTN	5	0.2194	0.86695	0.41247	0.81131	0.38597	0.68956
ORAI1	5	0.48153	1.3176	0.033045	0.29573	0.18764	0.59478
ORAI2	5	-0.051681	-0.25927	0.72193	0.93471	0.79542	0.91505
ORAI3	5	0.052645	0.22589	0.94302	0.99061	0.82129	0.92727
ORAOV1	5	-1.5541	-4.0706	0	0	4.6892e-05	0.0073421
ORC1	5	-0.60094	-2.3956	0.024936	0.25554	0.016595	0.28995
ORC2	5	0.20119	0.77044	0.46346	0.83923	0.44104	0.72425
ORC3	5	0.002099	0.0055816	0.89065	0.97852	0.99555	0.99837
ORC4	5	-0.11631	-0.46171	0.54437	0.87479	0.64429	0.83988
ORC5	5	-0.52304	-1.9366	0.044041	0.34196	0.052799	0.56589
ORC6	5	-1.169	-2.4748	5.5537e-05	0.002924	0.01333	0.25192
ORM1	4	-0.2132	-0.78842	0.38282	0.79412	0.43045	0.71666
ORM2	4	0.13706	0.61151	0.68499	0.92186	0.54086	0.78173
ORMDL1	5	0.23287	0.76476	0.37732	0.79009	0.44441	0.72603
ORMDL2	4	-0.01109	-0.073243	0.8616	0.97116	0.94161	0.97698
ORMDL3	5	-0.31863	-1.732	0.18355	0.62143	0.083265	0.59288
OS9	5	-0.028741	-0.12136	0.7949	0.95432	0.90341	0.95967
OSBP	5	-0.23614	-0.84324	0.29912	0.73622	0.39909	0.69727
OSBP2	5	0.16243	0.74201	0.57836	0.88768	0.45808	0.73354
OSBPL10	5	0.093021	0.58618	0.8074	0.95834	0.55775	0.792
OSBPL11	5	-0.048598	-0.2309	0.7322	0.93677	0.81739	0.92581
OSBPL1A	5	0.19446	0.85149	0.48334	0.84726	0.39449	0.69485
OSBPL2	5	-0.12461	-0.61496	0.52288	0.86718	0.53858	0.77987
OSBPL3	5	0.58847	1.2734	0.0076641	0.13213	0.20286	0.59636
OSBPL5	5	0.12872	0.78971	0.68644	0.92186	0.4297	0.71607
OSBPL6	5	0.2816	1.2407	0.26413	0.70795	0.21473	0.59911
OSBPL7	5	0.016019	0.10158	0.93658	0.98979	0.91909	0.96708
OSBPL8	5	-0.43388	-2.0563	0.08536	0.45913	0.039755	0.47913
OSBPL9	5	-0.18132	-0.89921	0.39837	0.80313	0.36854	0.67795
OSCAR	5	0.18081	0.93132	0.52471	0.86831	0.35169	0.67015
OSCP1	5	-0.24803	-0.93518	0.27946	0.72257	0.3497	0.66936
OSER1	5	0.088659	0.5589	0.82245	0.96331	0.57623	0.80281
OSGEP	5	-0.31121	-1.0559	0.19138	0.63206	0.29103	0.63626
OSGEPL1	5	0.42237	1.4971	0.068699	0.42175	0.13438	0.59288
OSGIN1	5	0.47317	1.5393	0.036988	0.3143	0.12373	0.59288
OSGIN2	5	0.043668	0.29716	0.9724	0.99608	0.76635	0.90226
OSM	5	-0.03802	-0.28626	0.76547	0.94955	0.77468	0.90534
OSMR	5	-0.036703	-0.15251	0.76997	0.95025	0.87879	0.94996
OSR1	5	0.38543	1.0855	0.10219	0.49383	0.27772	0.62791
OSR2	5	-0.056073	-0.36721	0.70899	0.92945	0.71346	0.87402
OSTC	5	-0.25085	-1.8302	0.2753	0.71976	0.067213	0.59288
OSTF1	5	0.20691	0.60589	0.44774	0.83191	0.54459	0.7841
OSTM1	5	0.41729	1.5965	0.072976	0.43181	0.11037	0.59288
OSTN	5	0.24774	1.1998	0.34139	0.77001	0.23022	0.60577
OTC	5	0.34121	1.4093	0.16178	0.59526	0.15876	0.59288
OTOA	5	0.03239	0.13975	0.99139	0.99944	0.88886	0.95433
OTOF	5	0.36224	1.5895	0.13184	0.55158	0.11194	0.59288
OTOG	5	0.3615	1.2449	0.13268	0.55273	0.21318	0.5986
OTOL1	5	0.13873	0.56037	0.6535	0.91097	0.57522	0.80202
OTOP1	5	-0.32302	-1.0617	0.17883	0.6145	0.28838	0.63505
OTOP2	5	-0.050901	-0.2728	0.72493	0.93551	0.78501	0.91098
OTOP3	5	0.45101	1.55	0.048151	0.35539	0.12114	0.59288
OTOR	5	-0.1221	-0.48605	0.5291	0.86936	0.62694	0.82937
OTOS	5	0.22727	1.2232	0.39043	0.79864	0.22125	0.60171
OTP	5	0.37575	1.6158	0.11468	0.5212	0.10614	0.59288
OTUB1	5	-0.6611	-2.5075	0.016272	0.20235	0.01216	0.2372
OTUB2	5	0.24411	0.95614	0.34911	0.773	0.339	0.66356
OTUD1	5	0.16388	0.6956	0.57436	0.88686	0.48668	0.74969
OTUD3	5	0.2122	1.4528	0.43274	0.82318	0.14628	0.59288
OTUD4	7	-0.43947	-1.5436	0.039987	0.32391	0.1227	0.59288
OTUD5	5	0.011416	0.061665	0.92075	0.9855	0.95083	0.97976
OTUD6A	5	0.34627	1.1356	0.155	0.58684	0.25611	0.61767
OTUD6B	5	-0.027197	-0.093618	0.80007	0.95645	0.92541	0.9695
OTUD7A	5	0.12266	0.67541	0.70493	0.92782	0.49941	0.75714
OTUD7B	5	0.16917	0.84952	0.55887	0.88302	0.39559	0.69542
OTX1	5	0.086323	0.53973	0.83061	0.96543	0.58939	0.8103
OTX2	5	-0.15733	-0.83004	0.44946	0.83278	0.40652	0.70234
OVCA2	5	0.11937	0.68478	0.71632	0.93302	0.49348	0.75383
OVGP1	5	0.11328	0.99983	0.73681	0.93942	0.31739	0.65026
OVOL1	5	-0.47338	-2.2451	0.064367	0.41012	0.024762	0.36831
OVOL2	5	0.40865	1.2549	0.079029	0.44455	0.2095	0.59847
OXA1L	5	-0.26808	-1.1575	0.24958	0.69276	0.24707	0.61344
OXCT1	5	0.067681	0.31242	0.89148	0.97866	0.75472	0.89613
OXCT2	5	0.18593	1.2286	0.50883	0.85931	0.2192	0.60021
OXER1	5	0.027592	0.1278	0.97556	0.9966	0.89831	0.95748
OXGR1	5	0.24443	1.2877	0.34844	0.77247	0.19784	0.59478
OXLD1	5	-0.27954	-1.5221	0.23342	0.67889	0.12798	0.59288
OXNAD1	4	-0.036276	-0.17321	0.78901	0.95346	0.86249	0.94326
OXR1	12	-0.58098	-3.4271	0.00088859	0.029795	0.00061017	0.03626
OXSM	5	0.15397	0.99955	0.60474	0.89437	0.31753	0.6503
OXSR1	5	0.13507	0.53206	0.66411	0.91492	0.59469	0.81249
OXT	5	0.25256	1.2471	0.32845	0.75775	0.21236	0.59847
OXTR	5	0.33386	1.3624	0.17244	0.60674	0.17306	0.59288
P2RX1	5	-0.049167	-0.29134	0.73065	0.93677	0.77079	0.90361
P2RX2	5	0.35805	1.6907	0.1369	0.55845	0.090897	0.59288
P2RX3	5	0.10113	0.75244	0.78057	0.9532	0.45178	0.72995
P2RX4	5	0.2157	1.4281	0.42297	0.81752	0.15326	0.59288
P2RX5	5	0.17473	1.0933	0.54287	0.87373	0.27424	0.62642
P2RX6	4	0.46913	1.3092	0.067755	0.41864	0.19047	0.59478
P2RX7	5	0.03184	0.16004	0.99006	0.99933	0.87285	0.94755
P2RY1	5	0.42495	1.3736	0.066589	0.41684	0.16957	0.59288
P2RY10	4	0.19283	0.62913	0.52932	0.86936	0.52926	0.7749
P2RY11	5	0.10076	0.62491	0.78174	0.95321	0.53203	0.77618
P2RY12	5	0.1321	0.54118	0.67439	0.9189	0.58839	0.80952
P2RY13	5	0.26108	1.0776	0.30867	0.74154	0.28123	0.62982
P2RY14	5	0.61549	1.4231	0.004554	0.094688	0.1547	0.59288
P2RY2	5	0.085298	0.30724	0.83389	0.96554	0.75866	0.89818
P2RY4	5	0.34887	1.2085	0.15162	0.58348	0.22686	0.60274
P2RY6	5	0.02874	0.14225	0.97884	0.99666	0.88688	0.95339
P2RY8	5	0.54255	1.3242	0.015217	0.19712	0.18545	0.59478
P4HA1	5	-0.1013	-0.4671	0.58553	0.89053	0.64043	0.83785
P4HA2	5	-0.12017	-0.64228	0.53399	0.8715	0.52069	0.76899
P4HA3	5	-0.28055	-1.6671	0.23209	0.67731	0.095496	0.59288
P4HB	5	-0.4284	-1.9019	0.088637	0.46533	0.057178	0.58856
P4HTM	5	0.33369	1.3953	0.17266	0.60674	0.16292	0.59288
PA2G4	5	-0.28173	-0.9562	0.23059	0.676	0.33897	0.66356
PAAF1	5	-0.39632	-1.736	0.1108	0.51361	0.082566	0.59288
PABPC1	5	-0.75701	-2.8376	0.0076086	0.13198	0.004545	0.12629
PABPC1L	5	0.43614	1.7593	0.058258	0.39171	0.078532	0.59288
PABPC1L2A	2	0.34018	0.83737	0.38593	0.79541	0.40239	0.69976
PABPC1L2B	3	-0.097847	-0.71375	0.66728	0.91571	0.47538	0.74292
PABPC3	5	0.062098	0.24833	0.90975	0.98249	0.80388	0.9189
PABPC4	5	-0.035463	-0.17935	0.77435	0.95083	0.85766	0.94139
PABPC5	5	-0.12807	-0.76656	0.51516	0.86312	0.44334	0.72545
PABPN1	4	-0.61673	-1.9475	0.041208	0.32992	0.051477	0.55803
PABPN1L	5	0.37557	1.7895	0.11491	0.52168	0.07354	0.59288
PACRG	5	0.048554	0.26265	0.95696	0.99237	0.79282	0.91393
PACRGL	7	0.011831	0.053713	0.92469	0.98696	0.95716	0.9829
PACS1	5	-0.20181	-0.67055	0.35788	0.77826	0.50251	0.75882
PACS2	5	-0.010262	-0.063629	0.85177	0.96886	0.94927	0.97947
PACSIN1	5	-0.10953	-0.43264	0.5627	0.88351	0.66528	0.85102
PACSIN2	5	0.49143	1.0662	0.029546	0.27883	0.28631	0.63395
PACSIN3	5	-0.24785	-1.1313	0.27946	0.72257	0.25793	0.61818
PADI1	5	0.5124	1.7209	0.021715	0.24002	0.085267	0.59288
PADI2	5	-0.17679	-0.68855	0.40698	0.80815	0.4911	0.75259
PADI3	5	0.28528	1.2667	0.25641	0.70114	0.20527	0.59679
PADI4	5	0.26625	1.3941	0.29696	0.73579	0.16328	0.59288
PAEP	5	-0.091694	-0.50808	0.61052	0.896	0.6114	0.82055
PAF1	5	-0.23335	-1.229	0.30257	0.73711	0.21905	0.60021
PAFAH1B1	5	-1.3425	-3.3263	0	0	0.00088008	0.046402
PAFAH1B2	5	0.20864	0.83257	0.44252	0.83043	0.40509	0.70181
PAFAH1B3	5	0.28869	1.0288	0.24953	0.69276	0.30356	0.64252
PAFAH2	5	0.18161	0.89231	0.52205	0.86717	0.37223	0.68046
PAG1	5	0.0043586	0.016933	0.89831	0.98001	0.98649	0.99489
PAGE1	5	0.15764	0.6774	0.59386	0.89233	0.49816	0.75676
PAGE2	2	-0.37636	-0.83336	0.32445	0.75465	0.40464	0.70159
PAGE2B	2	0.42994	1.0537	0.24803	0.69244	0.29204	0.63685
PAGE4	5	0.16915	0.54806	0.55892	0.88302	0.58365	0.80703
PAGE5	4	0.15407	0.60115	0.63679	0.90532	0.54774	0.78555
PAGR1	5	-0.20018	-0.89519	0.36066	0.7811	0.37068	0.67967
PAH	5	0.48733	1.4779	0.031101	0.28542	0.13942	0.59288
PAICS	4	-0.9829	-2.8907	0.0040542	0.086698	0.0038441	0.11653
PAIP1	5	-0.37156	-1.3018	0.13023	0.54854	0.19297	0.59478
PAIP2	4	-0.2213	-0.95278	0.36888	0.78446	0.3407	0.66422
PAIP2B	5	0.33685	1.333	0.16794	0.60283	0.18254	0.59478
PAK1	5	-0.3931	-1.866	0.11302	0.5161	0.062039	0.59288
PAK1IP1	5	-1.6942	-4.0526	0	0	5.0642e-05	0.0076627
PAK2	5	0.02684	0.18882	0.97273	0.99608	0.85024	0.93896
PAK3	5	0.46875	1.5701	0.038765	0.31901	0.11639	0.59288
PAK4	5	-0.10833	-0.76845	0.56609	0.88456	0.44222	0.7248
PAK6	5	0.50137	1.6766	0.025325	0.25689	0.093614	0.59288
PAK7	5	0.55997	1.7533	0.011274	0.16397	0.079544	0.59288
PALB2	5	-0.37132	-1.6504	0.13051	0.54907	0.098861	0.59288
PALD1	5	0.34317	1.2618	0.15967	0.59217	0.20702	0.59717
PALLD	5	-0.32665	-1.2239	0.17455	0.60817	0.22098	0.60155
PALM	5	-0.057529	-0.20378	0.70515	0.92782	0.83853	0.93406
PALM2	5	0.2074	1.0245	0.44607	0.83125	0.3056	0.64312
PALM2-AKAP2	2	-0.36782	-1.4083	0.33278	0.76128	0.15903	0.59288
PALM3	5	0.18651	1.1012	0.50716	0.85931	0.27082	0.62515
PALMD	5	0.03499	0.1145	0.99922	0.99978	0.90884	0.96168
PAM	5	-0.043981	-0.3003	0.74653	0.94239	0.76395	0.90119
PAM16	5	-1.1438	-3.098	0.00011107	0.0056497	0.0019486	0.076944
PAMR1	5	0.091053	0.41064	0.81451	0.96083	0.68134	0.85901
PAN2	5	-0.26845	-1.3889	0.24892	0.69249	0.16485	0.59288
PAN3	5	0.0019642	0.011394	0.89043	0.97834	0.99091	0.99703
PANK1	5	-0.066651	-0.4359	0.67944	0.9204	0.66291	0.84944
PANK2	5	0.013537	0.064785	0.92808	0.98794	0.94835	0.97907
PANK3	5	-0.090449	-0.86343	0.61341	0.8968	0.3879	0.69089
PANK4	5	0.31244	1.482	0.2056	0.64788	0.13835	0.59288
PANX1	5	0.48383	1.379	0.032489	0.29323	0.16789	0.59288
PANX2	5	0.39255	1.537	0.094802	0.47923	0.12429	0.59288
PANX3	5	0.51591	1.4968	0.02116	0.23709	0.13445	0.59288
PAOX	4	-0.11751	-0.76864	0.57753	0.88738	0.4421	0.72479
PAPD4	5	0.17537	0.74618	0.54149	0.8733	0.45556	0.73167
PAPD5	5	-0.17758	-1.6086	0.40603	0.80782	0.10769	0.59288
PAPD7	5	0.12661	0.79144	0.69266	0.92426	0.42869	0.71571
PAPL	5	-0.024244	-0.12717	0.80812	0.95869	0.8988	0.95774
PAPLN	5	0.22456	1.4296	0.39759	0.80294	0.15283	0.59288
PAPOLA	5	-0.74991	-2.0811	0.0078307	0.13352	0.037429	0.46354
PAPOLG	5	0.060112	0.21624	0.91558	0.984	0.8288	0.93022
PAPPA	4	-0.013292	-0.069032	0.85616	0.96945	0.94496	0.97805
PAPPA2	5	0.10631	0.51676	0.76052	0.94913	0.60532	0.81822
PAPSS1	5	0.10674	0.57608	0.7588	0.94783	0.56456	0.79464
PAPSS2	5	0.15884	0.77548	0.58997	0.8917	0.43806	0.72222
PAQR3	5	0.301	0.9413	0.22615	0.67084	0.34655	0.66752
PAQR4	5	-0.079721	-0.88038	0.64434	0.90711	0.37866	0.68443
PAQR5	5	0.5766	1.706	0.008997	0.14223	0.088015	0.59288
PAQR6	5	-0.43857	-2.4228	0.083528	0.45746	0.015402	0.27595
PAQR7	5	0.033987	0.15782	0.99661	0.99944	0.8746	0.94799
PAQR8	5	-0.21479	-1.3119	0.33417	0.76222	0.18956	0.59478
PAQR9	5	0.61691	1.515	0.0043874	0.092182	0.12978	0.59288
PARD3	5	0.22037	1.0932	0.40975	0.81072	0.2743	0.62642
PARD3B	5	0.26311	1.5799	0.30418	0.73811	0.11413	0.59288
PARD6A	5	0.43111	1.677	0.062479	0.40439	0.093541	0.59288
PARD6B	5	0.18284	0.51536	0.51822	0.86486	0.6063	0.81872
PARD6G	5	0.33397	1.3829	0.17233	0.60674	0.1667	0.59288
PARK2	5	0.27628	1.1124	0.27596	0.71994	0.26597	0.62356
PARK7	5	0.15176	0.62607	0.6108	0.896	0.53127	0.77598
PARL	5	-0.39675	-1.494	0.11041	0.51289	0.13519	0.59288
PARM1	5	0.48153	1.4965	0.033045	0.29573	0.13453	0.59288
PARN	5	0.16599	0.61148	0.5682	0.88473	0.54088	0.78173
PARP1	5	-0.4198	-2.0238	0.094913	0.47952	0.042987	0.50229
PARP10	5	0.15951	0.42838	0.58836	0.89153	0.66838	0.85262
PARP11	5	-0.01137	-0.035239	0.84861	0.96871	0.97189	0.98852
PARP12	5	0.48074	1.5385	0.033655	0.29852	0.12392	0.59288
PARP14	5	0.19359	0.93733	0.48617	0.84951	0.34859	0.66852
PARP15	5	0.0076711	0.030816	0.90803	0.98245	0.97542	0.99013
PARP16	5	0.037473	0.17404	0.99322	0.99944	0.86183	0.94301
PARP2	5	-0.24617	-1.0969	0.28185	0.7249	0.2727	0.62606
PARP3	5	0.19805	0.74632	0.47234	0.84241	0.45547	0.73165
PARP4	5	0.33131	1.3207	0.17589	0.61009	0.18661	0.59478
PARP6	5	0.10337	0.57084	0.77163	0.95025	0.56811	0.79729
PARP8	5	-0.014019	-0.052741	0.84072	0.96741	0.95794	0.98305
PARP9	5	0.39317	1.3059	0.09408	0.47814	0.19158	0.59478
PARPBP	5	-0.037522	-0.13183	0.76719	0.94971	0.89512	0.95616
PARS2	5	-0.18892	-0.88058	0.38298	0.7942	0.37855	0.68442
PARVA	5	0.11726	0.5981	0.72387	0.93551	0.54978	0.78684
PARVB	5	0.073729	0.37629	0.87054	0.97366	0.7067	0.87121
PARVG	5	0.46951	1.8564	0.038543	0.31866	0.063396	0.59288
PASD1	5	0.51687	1.5324	0.020937	0.23533	0.12543	0.59288
PASK	5	0.41782	1.5238	0.072587	0.43008	0.12756	0.59288
PATE1	5	0.62577	1.6022	0.0038321	0.083233	0.10912	0.59288
PATE2	5	0.50751	1.2494	0.02277	0.2439	0.21153	0.59847
PATE3	5	0.37429	1.3178	0.11613	0.52286	0.18758	0.59478
PATE4	4	0.38467	1.2239	0.14756	0.57833	0.221	0.60155
PATL1	5	-0.11975	-0.5691	0.53527	0.87181	0.56929	0.79821
PATL2	5	0.24572	1.2205	0.34572	0.77176	0.22229	0.60194
PATZ1	5	0.23712	0.99734	0.36616	0.7827	0.3186	0.65117
PAWR	5	0.20694	0.6911	0.44768	0.83191	0.4895	0.75149
PAX1	5	0.27543	1.1844	0.27791	0.72176	0.23624	0.6087
PAX2	5	0.065369	0.37398	0.8987	0.98002	0.70842	0.8715
PAX3	5	-0.66392	-2.5187	0.015939	0.2007	0.011777	0.23342
PAX4	5	0.25421	1.0387	0.32434	0.75465	0.29894	0.64035
PAX5	10	0.24954	1.6731	0.17072	0.60488	0.094299	0.59288
PAX6	5	0.1924	0.86347	0.48967	0.85197	0.38788	0.69089
PAX7	5	0.5457	1.6504	0.014384	0.1896	0.098855	0.59288
PAX8	5	0.088684	0.58399	0.82245	0.96331	0.55923	0.79272
PAX9	5	0.024723	0.19214	0.96507	0.99445	0.84763	0.93807
PAXBP1	5	0.041958	0.17962	0.97784	0.9966	0.85745	0.94139
PAXIP1	5	-0.17945	-0.74197	0.40214	0.80569	0.4581	0.73354
PBDC1	4	0.0346	0.1644	0.99944	0.99978	0.86941	0.94569
PBK	5	0.25643	0.82071	0.31967	0.74941	0.41181	0.70599
PBLD	5	0.40967	1.5396	0.078141	0.44176	0.12365	0.59288
PBOV1	5	0.53075	1.2843	0.017328	0.21153	0.19905	0.59478
PBRM1	5	0.24988	1.165	0.33567	0.76419	0.24401	0.61115
PBX1	5	0.058834	0.19932	0.91969	0.98513	0.84201	0.93536
PBX2	5	-0.67502	-2.5873	0.014551	0.19124	0.009672	0.206
PBX3	5	-0.023302	-0.13236	0.81112	0.9594	0.8947	0.95612
PBX4	5	0.13735	0.55929	0.65761	0.91206	0.57596	0.80257
PBXIP1	5	0.022828	0.076375	0.95801	0.99237	0.93912	0.9761
PC	5	-0.36449	-1.8605	0.13679	0.55835	0.062816	0.59288
PCBD1	5	0.37197	1.1642	0.1194	0.53165	0.24433	0.61155
PCBD2	5	-0.057353	-0.20822	0.70571	0.92794	0.83505	0.93258
PCBP1	5	-1.2387	-3.6549	5.5537e-05	0.002924	0.00025731	0.021253
PCBP2	5	-1.2788	-3.1707	0	0	0.0015207	0.065506
PCBP3	5	0.51216	1.71	0.021771	0.24034	0.087263	0.59288
PCBP4	4	0.20757	0.61472	0.48667	0.84991	0.53874	0.78004
PCCA	5	-0.014782	-0.066865	0.83789	0.9666	0.94669	0.97876
PCCB	5	0.36604	1.4139	0.12735	0.54515	0.1574	0.59288
PCDH1	5	0.25497	1.3123	0.32289	0.75291	0.18943	0.59478
PCDH10	5	0.49102	1.2903	0.029768	0.2799	0.19694	0.59478
PCDH11X	3	0.054314	0.22554	0.95268	0.99191	0.82156	0.92727
PCDH11Y	2	0.77441	1.0192	0.017772	0.21433	0.3081	0.64523
PCDH12	5	-0.069061	-0.25792	0.67255	0.91801	0.79647	0.91537
PCDH15	5	0.29214	1.3241	0.24303	0.68697	0.18547	0.59478
PCDH17	5	0.15323	0.87444	0.60652	0.89437	0.38188	0.68692
PCDH18	5	-0.27364	-1.1766	0.24086	0.68375	0.23936	0.61006
PCDH19	5	0.52951	1.616	0.017661	0.21342	0.1061	0.59288
PCDH20	5	0.097467	0.57628	0.79274	0.95376	0.56443	0.79464
PCDH7	5	0.21668	0.8579	0.41992	0.81555	0.39095	0.69279
PCDH8	5	0.05407	0.39196	0.9383	0.99023	0.69508	0.86654
PCDH9	5	0.29222	0.86663	0.2427	0.68624	0.38615	0.68973
PCDHA1	5	0.034018	0.28688	0.99672	0.99944	0.77421	0.90532
PCDHA10	5	0.24515	1.1753	0.34694	0.77226	0.23986	0.61006
PCDHA11	5	0.41092	1.5996	0.07703	0.44008	0.1097	0.59288
PCDHA12	5	0.051272	0.21505	0.94757	0.99146	0.82972	0.93032
PCDHA13	5	0.16198	0.80345	0.57986	0.88769	0.42172	0.71185
PCDHA2	5	-0.39831	-1.486	0.10896	0.50961	0.13728	0.59288
PCDHA3	5	0.087038	0.46838	0.82856	0.96543	0.63951	0.83746
PCDHA4	4	0.23178	0.86172	0.42564	0.81924	0.38884	0.69151
PCDHA5	5	0.43137	1.3829	0.062368	0.40439	0.1667	0.59288
PCDHA6	5	0.19834	0.73228	0.47168	0.84216	0.464	0.7364
PCDHA7	5	-0.080105	-0.5203	0.64317	0.90677	0.60285	0.81665
PCDHA8	5	-0.4041	-1.4932	0.10491	0.5004	0.13537	0.59288
PCDHA9	5	0.31988	1.3564	0.19405	0.63435	0.17496	0.59358
PCDHAC1	5	0.13574	0.81862	0.66206	0.91385	0.413	0.70616
PCDHAC2	5	0.19215	1.6287	0.49056	0.85207	0.10338	0.59288
PCDHB1	5	-0.048667	-0.23642	0.73192	0.93677	0.81311	0.92365
PCDHB10	5	0.3772	0.98392	0.1128	0.51574	0.32515	0.65492
PCDHB11	5	-0.036831	-0.19464	0.76958	0.95025	0.84567	0.93679
PCDHB12	5	0.30605	1.5776	0.21698	0.66002	0.11465	0.59288
PCDHB13	5	0.20127	1.0264	0.46329	0.83923	0.30471	0.64256
PCDHB14	5	0.14661	0.40298	0.62729	0.90194	0.68696	0.86219
PCDHB15	5	0.19743	0.87496	0.47462	0.84332	0.3816	0.68669
PCDHB16	5	-0.16084	-1.0091	0.4423	0.83043	0.31293	0.64781
PCDHB2	5	-0.21637	-0.89424	0.33089	0.75956	0.37119	0.67986
PCDHB3	5	0.19093	0.89926	0.4945	0.85279	0.36852	0.67795
PCDHB4	5	-0.024294	-0.13463	0.80806	0.95869	0.8929	0.95582
PCDHB5	5	0.077472	0.56346	0.85844	0.97025	0.57312	0.80076
PCDHB6	5	0.18687	0.828	0.50578	0.85899	0.40767	0.70311
PCDHB7	5	-0.29907	-1.3343	0.20726	0.64904	0.18209	0.59478
PCDHB8	5	0.01295	0.067262	0.92597	0.98744	0.94637	0.97875
PCDHGA1	5	0.11984	0.46732	0.71471	0.9322	0.64027	0.83778
PCDHGA10	5	0.29294	1.0015	0.24136	0.68467	0.31659	0.65026
PCDHGA11	5	0.11091	0.51495	0.74403	0.94239	0.60659	0.81877
PCDHGA12	5	-0.032757	-0.17257	0.78263	0.95346	0.86299	0.94343
PCDHGA2	5	0.02852	0.11729	0.97812	0.9966	0.90663	0.96087
PCDHGA3	5	-0.18525	-0.95669	0.3902	0.79864	0.33872	0.66344
PCDHGA5	5	0.47075	1.5556	0.037987	0.31755	0.11981	0.59288
PCDHGA6	5	0.12964	0.61731	0.68355	0.92133	0.53703	0.77894
PCDHGA7	5	-0.10987	-0.50061	0.56159	0.88302	0.61665	0.82329
PCDHGA8	5	0.2919	1.184	0.24359	0.68725	0.23641	0.6087
PCDHGA9	4	-0.078336	-0.45326	0.67483	0.91914	0.65036	0.84247
PCDHGB1	5	-0.50074	-1.8816	0.052316	0.37151	0.059896	0.59288
PCDHGB2	5	-0.011025	-0.056626	0.84961	0.96871	0.95484	0.98195
PCDHGB3	5	0.1018	0.49389	0.77746	0.95247	0.62138	0.82594
PCDHGB4	5	0.25619	1.19	0.32012	0.74954	0.23405	0.60644
PCDHGB6	5	0.16895	0.85044	0.55954	0.88302	0.39508	0.69496
PCDHGB7	5	0.26299	0.72605	0.30429	0.73811	0.46781	0.73831
PCDHGC3	5	0.023611	0.1603	0.96046	0.99237	0.87265	0.94753
PCDHGC4	5	0.07929	0.46675	0.85299	0.96915	0.64068	0.83795
PCDHGC5	5	-0.26073	-1.3639	0.26069	0.70533	0.17261	0.59288
